Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score
Halo 5: Guardians,XOne,2015,Shooter,4.48,84,6.4
Spider-Man: The Movie,PS2,2002,Action,4.48,76,7.9
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,4.47,,
Call of Duty: Infinite Warfare,PS4,2016,Shooter,4.46,77,3.4
God of War,PS2,2005,Action,4.45,94,8.9
Splatoon,WiiU,2015,Shooter,4.43,81,8.5
Nintendo Land,WiiU,2012,Misc,4.42,77,7.9
Tony Hawk's Pro Skater 3,PS2,2001,Sports,4.41,97,7.5
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,4.39,86,8.9
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,4.38,94,8.7
Zelda II: The Adventure of Link,NES,1987,Adventure,4.38,,
Need for Speed: Most Wanted,PS2,2005,Racing,4.37,82,9.1
Michael Jackson: The Experience,Wii,2010,Misc,4.36,56,8.3
Call of Duty: Advanced Warfare,PS3,2014,Shooter,4.36,,4.8
Resistance: Fall of Man,PS3,2006,Shooter,4.34,86,8.1
Sonic the Hedgehog,GEN,1991,Platform,4.34,,
Kingdom Hearts II,PS2,2005,Role-Playing,4.33,87,9
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,4.33,,
Super Mario 3D World,WiiU,2013,Platform,4.32,93,9
Minecraft,PS4,2014,Misc,4.32,,
Asteroids,2600,1980,Shooter,4.31,,
Call of Duty: Advanced Warfare,X360,2014,Shooter,4.29,,4.9
FIFA 15,PS3,2014,Sports,4.28,,4.5
Fable II,X360,2008,Role-Playing,4.27,89,6.5
Namco Museum,GBA,2001,Misc,4.24,79,7.3
Batman: Arkham Asylum,PS3,2009,Action,4.23,91,8.9
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,4.23,91,9.3
Assassin's Creed: Revelations,PS3,2011,Action,4.22,80,7.5
Fallout 4,XOne,2015,Role-Playing,4.22,88,6.2
FIFA 14,X360,2013,Sports,4.22,84,4.2
Daxter,PSP,2006,Platform,4.21,85,8.7
Warcraft II: Tides of Darkness,PC,1995,Strategy,4.21,,
FIFA Soccer 06,PS2,2005,Sports,4.21,80,7.8
EyeToy Play,PS2,2003,Misc,4.2,80,7.5
Gran Turismo 5 Prologue,PS3,2007,Racing,4.19,80,7.1
Assassin's Creed: Revelations,X360,2011,Action,4.19,80,7.2
FIFA 12,X360,2011,Sports,4.18,,
Teenage Mutant Ninja Turtles,NES,1989,Action,4.17,,
Street Fighter IV,PS3,2009,Fighting,4.16,94,7.3
Excitebike,NES,1984,Racing,4.16,,
Frogger,PS,1997,Action,4.16,,
Madden NFL 2003,PS2,2002,Sports,4.14,95,7.7
Half-Life,PC,1997,Shooter,4.12,96,9.1
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,4.12,,
FIFA Soccer 07,PS2,2006,Sports,4.11,,
Street Fighter II Turbo,SNES,1992,Fighting,4.1,,
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,4.09,91,7.9
Battlefield 1,PS4,2016,Shooter,4.08,88,8.4
God of War II,PS2,2007,Action,4.07,93,8.9
World Soccer Winning Eleven 9,PS2,2005,Sports,4.06,,8.2
Fallout: New Vegas,X360,2010,Role-Playing,4.05,84,8.1
Forza Motorsport 2,X360,2007,Racing,4.05,90,8.3
Carnival Games,Wii,2007,Misc,4.05,56,6
Watch Dogs,PS4,2014,Action,4.05,80,6.3
Namco Museum Vol.3,PS,1996,Misc,4.05,,
Tekken Tag Tournament,PS2,2000,Fighting,4.05,85,8.5
Far Cry 4,PS4,2014,Shooter,4.04,85,7.7
Star Fox 64,N64,1997,Shooter,4.03,,
Golf,NES,1984,Sports,4.01,,
Namco Museum: 50th Anniversary,PS2,2005,Misc,3.98,61,tbd
Left 4 Dead 2,X360,2009,Shooter,3.97,89,8.6
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,3.97,92,9.2
Assassin's Creed: Unity,PS4,2014,Action,3.96,70,4.9
Batman: Arkham Knight,PS4,2015,Action,3.95,87,7.6
The Legend of Zelda: Skyward Sword,Wii,2011,Action,3.95,93,8
Fallout 3,PS3,2008,Role-Playing,3.94,90,8
Professor Layton and the Diabolical Box,DS,2007,Puzzle,3.94,84,8.8
Donkey Kong Land,GB,1994,Platform,3.91,,
EA Sports Active,Wii,2009,Sports,3.9,81,8.7
Tony Hawk's Underground,PS2,2003,Sports,3.9,90,8.7
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,3.89,86,8.7
The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,3.88,94,8.1
NBA 2K16,PS4,2015,Sports,3.88,87,6.7
Tekken 5,PS2,2005,Fighting,3.87,88,8.6
Dragon Warrior III,NES,1988,Role-Playing,3.87,,
MotorStorm,PS3,2006,Racing,3.87,84,7.4
Nintendogs + cats,3DS,2011,Simulation,3.85,,
World Soccer Winning Eleven 8 International,PS2,2004,Sports,3.85,91,9.1
Sports Champions,PS3,2010,Sports,3.84,76,7.9
Namco Museum Vol.1,PS,1995,Misc,3.84,,
The Legend of Zelda: Link's Awakening,GB,1992,Action,3.83,,
Call of Duty: Ghosts,PS4,2013,Shooter,3.83,78,3.7
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,3.83,59,4
Tom Clancy's The Division,PS4,2016,Shooter,3.8,80,7
Big Brain Academy: Wii Degree,Wii,2007,Misc,3.79,68,6.9
Resident Evil Director's Cut,PS,1996,Action,3.77,,
Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,3.77,,
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,3.76,77,7.5
The Sims: Unleashed,PC,2002,Simulation,3.76,79,8
Ratchet & Clank: Size Matters,PSP,2007,Platform,3.74,,
Harry Potter and the Sorcerer's Stone,PS,2001,Action,3.73,64,7.5
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,3.72,,
Resident Evil 3: Nemesis,PS,1999,Action,3.72,,
Super Paper Mario,Wii,2007,Platform,3.71,85,7.9
Spyro: Year of the Dragon,PS,2000,Platform,3.71,91,8.8
Assassin's Creed IV: Black Flag,PS3,2013,Action,3.71,88,8.1
FIFA Soccer 2005,PS2,2004,Sports,3.7,81,7.6
Pokémon Trading Card Game,GB,1998,Strategy,3.7,,
Friend Collection,DS,2009,Misc,3.67,,
Tony Hawk's Pro Skater 4,PS2,2002,Sports,3.67,94,8.5
Star Wars Battlefront (2015),XOne,2015,Shooter,3.66,,
MySims,DS,2007,Simulation,3.66,67,7.3
Midnight Club 3: DUB Edition,PSP,2005,Racing,3.65,74,8.4
Banjo-Kazooie,N64,1998,Platform,3.65,,
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,3.65,82,7.9
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,3.64,90,8.7
Pokemon Snap,N64,1999,Simulation,3.63,,
Pro Evolution Soccer 2008,PS2,2007,Sports,3.63,82,7.9
Resident Evil 4,PS2,2005,Action,3.62,96,8.9
Guitar Hero: World Tour,Wii,2008,Misc,3.62,86,7.6
FIFA Soccer 10,PS3,2009,Sports,3.62,91,7.6
Star Wars: Battlefront,PS2,2004,Shooter,3.61,82,8.7
Doom II: Hell on Earth,PC,1994,Shooter,3.61,,
The Simpsons: Road Rage,PS2,2001,Racing,3.61,64,7.7
Luigi's Mansion,GC,2001,Action,3.6,78,8.5
Battlefield 4,PS4,2013,Shooter,3.59,85,6.9
Star Wars: Battlefront II,PS2,2005,Shooter,3.59,84,9
Just Dance 2014,Wii,2013,Misc,3.59,,6.2
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,3.58,70,8
WWF SmackDown!,PS,2000,Fighting,3.58,,
Croc: Legend of the Gobbos,PS,1997,Platform,3.56,,
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,3.54,78,7.8
The Getaway,PS2,2002,Action,3.54,72,6.8
Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,3.54,,
James Bond 007: Agent Under Fire,PS2,2001,Shooter,3.53,72,7.9
LEGO Star Wars: The Video Game,PS2,2005,Action,3.53,,
Rugrats in Paris: The Movie,PS,2000,Action,3.52,,
FIFA Soccer 11,X360,2010,Sports,3.52,88,7.5
Spyro 2: Ripto's Rage!,PS,1999,Platform,3.52,,
Left 4 Dead,X360,2008,Shooter,3.51,89,7.9
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,3.51,,
Assassin's Creed: Unity,XOne,2014,Action,3.5,72,4.1
Kung Fu,NES,1985,Action,3.5,,
Resident Evil 5,X360,2009,Action,3.5,83,7.5
Assassin's Creed: Brotherhood,X360,2010,Action,3.49,89,8.3
FIFA Soccer 2004,PS2,N/A,Sports,3.49,84,6.4
Battlefield 4,PS3,2013,Shooter,3.49,80,5.8
Batman: Arkham Asylum,X360,2009,Action,3.48,92,8.7
Battlefield 4,X360,2013,Shooter,3.48,79,5.6
Battlefield: Bad Company 2,X360,2010,Shooter,3.47,88,8.6
Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,3.46,,
Guitar Hero: On Tour,DS,2008,Misc,3.46,71,8.8
Clubhouse Games,DS,2006,Misc,3.45,83,8.4
Monster Hunter 4,3DS,2013,Role-Playing,3.44,,
Borderlands,X360,2009,Shooter,3.44,84,8.2
Tekken 4,PS2,2002,Fighting,3.44,79,8.3
Final Fantasy III,SNES,1994,Role-Playing,3.42,,
Grand Theft Auto 2,PS,1998,Action,3.42,70,8
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,3.41,93,8.2
Spider-Man 2,PS2,2004,Action,3.41,80,8.9
F-1 Race,GB,1990,Racing,3.41,,
FIFA Soccer 2003,PS2,2002,Sports,3.4,88,6.7
LittleBigPlanet 2,PS3,2011,Platform,3.39,91,8.4
Crash Bash,PS,2000,Misc,3.39,68,8.2
Assassin's Creed Syndicate,PS4,2015,Action,3.39,76,6.8
LEGO Batman: The Videogame,X360,2008,Action,3.38,76,7.9
Destiny,XOne,2014,Shooter,3.37,75,5.5
WWF War Zone,PS,1998,Fighting,3.36,,
The Legend of Zelda: Majora's Mask,N64,2000,Action,3.36,,
Far Cry 3,PS3,2012,Shooter,3.35,90,8.5
Rugrats: Search For Reptar,PS,1998,Adventure,3.34,,
English Training: Have Fun Improving Your Skills!,DS,2006,Misc,3.33,,
James Bond 007: Nightfire,PS2,2002,Shooter,3.33,77,8.5
Ratchet & Clank,PS2,2002,Platform,3.33,,
Monster Hunter X,3DS,2015,Action,3.32,,
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,3.32,60,7.2
The Legend of Zelda: Spirit Tracks,DS,2009,Action,3.31,87,7.8
Max Payne,PS2,2001,Shooter,3.31,80,8.5
Assassin's Creed IV: Black Flag,X360,2013,Action,3.3,86,7.9
The Lord of the Rings: The Return of the King,PS2,2003,Action,3.28,85,8.7
Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,3.28,,
Gears of War: Ultimate Edition,XOne,2015,Shooter,3.28,82,7.5
True Crime: Streets of LA,PS2,2003,Action,3.27,77,8
Professor Layton and the Unwound Future,DS,2008,Puzzle,3.26,86,9.2
Gran Turismo (PSP),PSP,2009,Racing,3.25,,
FIFA 16,XOne,2015,Sports,3.25,84,4.4
Wii Music,Wii,2008,Misc,3.25,63,4.6
Tekken,PS,1995,Fighting,3.24,,
Madden NFL 16,PS4,2015,Sports,3.24,83,5.9
Gran Turismo 6,PS3,2013,Racing,3.23,81,7.7
Halo: The Master Chief Collection,XOne,2014,Shooter,3.23,85,7.2
007: Tomorrow Never Dies,PS,1999,Shooter,3.21,,
Super Mario Maker,WiiU,2015,Platform,3.21,88,8.7
WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,3.2,,
Baseball,NES,1983,Sports,3.2,,
Killer Instinct,SNES,1995,Fighting,3.2,,
Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,3.19,,
God of War: Chains of Olympus,PSP,2008,Action,3.18,91,8.6
Enter the Matrix,PS2,2003,Action,3.18,62,8.1
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,3.18,83,8
Dance Central,X360,2010,Misc,3.17,82,7.6
L.A. Noire,PS3,2011,Adventure,3.17,89,7.7
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,3.17,89,9.1
Animal Crossing,GC,2001,Simulation,3.15,87,8.9
FIFA Soccer 08,PS2,2007,Sports,3.14,83,6.5
