value,category,name
115067,Wearables,MetaWear: Bluetooth Sensors to make Wearables in Minutes
62778,Chiptune,"Big Giant Circles - ""The Glory Days"" (Impostor Nostalgia 2)"
193547,Product Design,RaveNectar Yoga Mats
87205,Gadgets,qualMeter:Finally a Smart USB Cable/Charger Tester for Dummy
64823,Fiction,Regretsy's Big Book of Fabricated Folktales from Finland
35590,Photography,LightBox Photography Cards
101433,Video Games,Theme Park Studio - Create the Ultimate Theme Park!
55193,Tabletop Games,"Bring Your Own Book, the game of borrowed phrases"
124135,Tabletop Games,A Study in Emerald
63457,Product Design,Orbit: A Swiveling Smartphone Suction Mount
87375,Tabletop Games,Spirits of the Rice Paddy Board Game
586061,Food,Nomiku: bring sous vide into your kitchen.
25206,Tabletop Games,STAR PATROL: a hex & counter minigame of starship combat
182294,Documentary,Without Getting Killed or Caught - Guy Clark Film
42708,Video Games,Death Road to Canada - Permadeath Road Trip Simulator
77252,Tabletop Games,BOMB SQUAD - an Intense Cooperative Real-time Game
163255,Tabletop Games,Shogun Big Box
159804,Tabletop Games,Kingdom Builder Big Box Kickstarter Edition
136284,Product Design,"GIR Spatula - Mini, Skinny, Pro"
116431,Webseries,THE WORLD OF STEAM
238726,Product Design,Ellum Solar \u2022 Light Different
110648,Product Design,Wipebook 3 | The reusable whiteboard notebook
96248,Hardware,"Trebuchette - the snap-together, desktop trebuchet"
46078,Video Games,Moonman
161444,Product Design,YOU CAN STILL GET ONE NOW
195003,Technology,SOS 20K - Life Saving Portable Solar Battery
401666,Gadgets,COBI. The Smartest Connected Bike System.
152286,Hardware,Spin - The Gyroscopic Spintop
81552,Narrative Film,Hotel Noir
54467,Tabletop Games,The Metagame. Discuss.
116888,Video Games,Hero-U Fantasy Adventure Role-Playing Game
162882,Animation,Red Ash -Magicicada- by STUDIO4\u2103
213392,Technology,AdTrap - The internet is yours again
93428,Science Fiction,HOLLYWOOD SCI FI SCIENCE FICTION MUSEUM
35873,Apps,Complete iOS 8 Developer Course Using Swift - No Mac Needed!
85244,Documentary,TWINSTERS Part 2: Post Production
264205,Wearables,HELIX: Wearable Cuff with Wireless Bluetooth Headphones
157146,Fashion,TRAKLINE 2.0 :\xa0 the best belt you'll ever own
87389,Art Books,Draw Like a Boss : The Physical Book
39267,Tabletop Games,Fidelitas: A card game of medieval meddling for 2-4 players!
27503,Drinks,The Best Coffee You've Ever Made... Now in a Pod
52725,Video Games,Codemancer: A Fantasy Game that Teaches the Magic of Code
67653,Music,"""Margaret"" by Jason Webley and friends"
250284,Tabletop Games,BattleCON: War Remastered
275269,Photobooks,Publish two coffee table books by Michael Stokes
104207,Comics,Table Titans Volume 1: First Encounters
96276,Software,Fluent Forever: Foreign Language Pronunciation Trainers
425553,Tabletop Games,Journey: Wrath of Demons
135250,Product Design,The Cole-Bar Hammer
71580,Comics,Dumbing of Age: The Third Book Collection
101832,Graphic Novels,The Last Halloween: Book 1
137567,Mixed Media,FlipBooKit - Mechanical Flipbook Art and Kit
53509,Video Games,Super Retro Squad
68755,Product Design,The Ultimate Shaker Bottle - Umoro One\u2122
45675,Tabletop Games,Schr\xf6dinger's Cats
60463,Hardware,WiReboot-Keep your WiFi on 24/7. Automatically reboot router
104249,Graphic Design,The World Metro Map
69270,Webcomics,Oh Joy Sex Toy: Volume 1
114983,Comics,The GaMERCaT Plush
184848,Product Design,MINI SAFE: The only wallet protecting your privacy and cash.
66861,Tabletop Games,Omen: A Reign of War. Omega Edition and Omega Edition Deluxe
60935,Video Games,Spintires -- The ultimate off-road challenge!
195094,Product Design,OSTRICH PILLOW
664274,Tabletop Games,Invisible Sun
71179,Games,Spriter
103899,Product Design,Omega - Compact Solid Titanium Wallet
62053,Product Design,Kangaroo Cups: A better anti-spill cup
31951,Tabletop Games,Downsize - A Competitive Card Game for 2-6 Players
181359,Tabletop Games,Deadlands Classic 20th Anniversary Edition
130697,Film &amp; Video,The Scarecrow Project
108848,Playing Cards,Classic Art Tokens
170748,Tabletop Games,Realm Works - Streamlined RPG Campaign Tools
118544,Product Design,StandStand: the portable standing desk
134180,Design,The World's First Quick-Release AAA Keychain Flashlight
55521,Product Design,StylusFlex: The Best iPad Stylus & Stand for Everyday Carry
38601,Video Games,Coming Out On Top - A Gay Dating Sim Video Game
111461,Product Design,CRATE - Titanium | Carbon Fiber Multi-Mode Wallet
111854,Design,BULBING: a Magical Lamp Design | Light up your life!
54295,Video Games,Lacuna Passage: Mars Exploration and Survival
79656,Video Games,Formula Fusion - Next-Gen Anti-Gravity Racing Game
94835,Video Games,WORLD END ECONOMiCA -Complete-
60691,Rock,NEW Framing Hanley Album & Music Video
